Ticker,Name,Exchange,exchangeDisplay,Type,TypeDisplay
B,Barnes Group Inc.,NYQ,NYSE,S,Equity
BA,The Boeing Company,NYQ,NYSE,S,Equity
BMRA,"Biomerica, Inc.",NMS,NASDAQ,S,Equity
APRN,"Blue Apron Holdings, Inc.",NYS,NYSE,S,Equity
BAC,Bank of America Corporation,NYQ,NYSE,S,Equity
BP,BP p.l.c.,NYQ,NYSE,S,Equity
BABA,Alibaba Group Holding Limited,NYS,NYSE,S,Equity
BRK-B,Berkshire Hathaway Inc.,NYQ,NYSE,S,Equity
BNTX,BioNTech SE,NMS,NASDAQ,S,Equity
AVGO,Broadcom Inc.,NGM,NASDAQ,S,Equity
C,Citigroup Inc.,NYQ,NYSE,S,Equity
CLEU,China Liberal Education Holdings Limited,NCM,NASDAQ,S,Equity
CL,Colgate-Palmolive Company,NYQ,NYSE,S,Equity
CCL,Carnival Corporation & Plc,NYQ,NYSE,S,Equity
CODX,"Co-Diagnostics, Inc.",NGM,NASDAQ,S,Equity
CVX,Chevron Corporation,NYQ,NYSE,S,Equity
CSCO,"Cisco Systems, Inc.",NMS,NASDAQ,S,Equity
KO,The Coca-Cola Company,NYQ,NYSE,S,Equity
CHK,Chesapeake Energy Corporation,NYQ,NYSE,S,Equity
D,"Dominion Energy, Inc.",NYQ,NYSE,S,Equity
^DJI,Dow Jones Industrial Average,DJI,Dow Jones,I,Index
DAL,"Delta Air Lines, Inc.",NYQ,NYSE,S,Equity
DIS,The Walt Disney Company,NYQ,NYSE,S,Equity
JNUG,Direxion Daily Junior Gold Miners Index Bull 2X Shares,ASE,NYSE MKT,E,ETF
NUGT,Direxion Daily Gold Miners Index Bull 2X Shares,NYQ,NYSE,E,ETF
DOW,Dow Inc.,NYQ,NYSE,S,Equity
DECN,Decision Diagnostics Corp.,PNK,OTC Markets,S,Equity
PLAY,"Dave & Buster's Entertainment, Inc.",NGM,NASDAQ,S,Equity
DRI,"Darden Restaurants, Inc.",NYQ,NYSE,S,Equity
E,Eni S.p.A.,NYQ,NYSE,S,Equity
XOM,Exxon Mobil Corporation,NYQ,NYSE,S,Equity
ET,Energy Transfer LP,NYQ,NYSE,S,Equity
ES,Eversource Energy,NYQ,NYSE,S,Equity
EPD,Enterprise Products Partners L.P.,NYQ,NYSE,S,Equity
XLE,Energy Select Sector SPDR Fund,PCX,NYSEArca,E,ETF
ENPH,"Enphase Energy, Inc.",NGM,NASDAQ,S,Equity
EXAS,Exact Sciences Corporation,NGM,NASDAQ,S,Equity
ERX,Direxion Daily Energy Bull 2X Shares,NYQ,NYSE,E,ETF
EPR,EPR Properties,NYQ,NYSE,S,Equity
F,Ford Motor Company,NYQ,NYSE,S,Equity
FVACU,FORTRESS VALUE ACQUISITION CORP.,NYS,NYSE,S,Equity
FB,"Facebook, Inc.",NGM,NASDAQ,S,Equity
FDX,FedEx Corporation,NYQ,NYSE,S,Equity
FCEL,"FuelCell Energy, Inc.",NGM,NASDAQ,S,Equity
FCX,Freeport-McMoRan Inc.,NYQ,NYSE,S,Equity
FLR,Fluor Corporation,NYQ,NYSE,S,Equity
FAS,Direxion Daily Financial Bull 3X Shares,ASE,NYSE MKT,E,ETF
FUN,"Cedar Fair, L.P.",NYQ,NYSE,S,Equity
G,Genpact Limited,NYQ,NYSE,S,Equity
GILD,"Gilead Sciences, Inc.",NMS,NASDAQ,S,Equity
GE,General Electric Company,NYQ,NYSE,S,Equity
^GSPC,S&P 500,SNP,SNP,I,Index
GOOG,Alphabet Inc.,NGM,NASDAQ,S,Equity
GM,General Motors Company,NYQ,NYSE,S,Equity
GS,"The Goldman Sachs Group, Inc.",NYS,NYSE,S,Equity
GADS,"Gadsden Properties, Inc.",PNK,OTC Markets,S,Equity
GOOGL,Alphabet Inc.,NMS,NASDAQ,S,Equity
GLD,SPDR Gold Shares,NYQ,NYSE,E,ETF
H,Hyatt Hotels Corporation,NYQ,NYSE,S,Equity
HD,"The Home Depot, Inc.",NYQ,NYSE,S,Equity
HLT,Hilton Worldwide Holdings Inc.,NYS,NYSE,S,Equity
